Date,Open,High,Low,Close,Volume,OpenInt
20151029,11.08,11.34,10.25,10.53,1475800,0
20151030,10.5,10.89,10,10.21,198900,0
20151102,10.59,10.59,9.99,10.44,235944,0
20151103,10.15,10.42,10,10.15,65300,0
20151104,10,10.2,10,10.06,31734,0
20151105,10.03,10.05,8.98,9.89,157200,0
20151106,9.97,9.97,9.71,9.96,44500,0
20151109,9.83,9.96,9.107,9.85,44460,0
20151110,9.86,9.9,9.67,9.89,30100,0
20151111,9.63,11.32,9.12,10.92,121400,0
20151112,10.7,11,10.63,10.87,12500,0
20151113,10.63,10.9,10.3,10.64,44200,0
20151116,10.39,10.73,10.05,10.73,49800,0
20151117,10.51,10.97,10.23,10.97,96800,0
20151118,10.69,11.21,10.32,11.21,189300,0
20151119,10.99,12.5,10.76,12.17,93100,0
20151120,12.54,12.54,11.61,11.83,73500,0
20151123,12.17,12.61,11.65,12.6,143200,0
20151124,12.85,13.15,11.9,12.41,117000,0
20151125,12.45,13.16,12.31,12.73,43100,0
20151127,12.79,12.79,11.6,12.4,228100,0
20151130,12.77,13.15,12.12,12.37,182900,0
20151201,12.81,12.845,11.82,12.5,51617,0
20151202,12.5,12.77,12.27,12.37,22459,0
20151203,12.48,12.8,12.22,12.55,35399,0
20151204,12.75,14.4,12.6,12.76,132500,0
20151207,13.02,14.06,12.85,13.59,98500,0
20151208,13.09,14.05,11.8,13.55,75031,0
20151209,13.32,14.09,12.4,12.78,35100,0
20151210,13.36,13.45,12.46,12.82,47100,0
20151211,13.28,13.28,12.25,12.48,133600,0
20151214,12.25,12.84,10.81,11.24,121463,0
20151215,11.46,11.69,10.01,10.86,173500,0
20151216,10.18,12,10.05,11.4,124300,0
20151217,11.42,13.4,10.48,12.61,171900,0
20151218,12.74,14.82,11.3,13.52,911600,0
20151221,13.38,15.08,13.06,14.8,110400,0
20151222,14.75,15.74,13.69,14.09,99720,0
20151223,14.4,15.63,13.52,14.73,44300,0
20151224,14.6,15.92,14.53,15.12,64101,0
20151228,15.11,15.25,14.32,14.94,40363,0
20151229,14.94,16.209,14.34,16.04,76464,0
20151230,16.11,16.45,15.01,15.93,76539,0
20151231,16.14,16.76,14.51,14.66,72360,0
20160104,14.52,15.45,13.58,14.2,237110,0
20160105,14.2,14.96,13.91,14.37,84195,0
20160106,14.26,15,13.9,14,54885,0
20160107,13.218,13.7,12.8601,13.36,26768,0
20160108,13.43,13.759,13.02,13.27,42650,0
20160111,13.64,13.82,12.8122,13.11,87953,0
20160112,13.66,13.76,12.36,12.88,26935,0
