Date,Open,High,Low,Close,Volume,OpenInt
20140725,13,13.25,12.61,13.15,1877770,0
20140728,13.05,13.25,12.8,12.84,292467,0
20140729,12.85,13,12.56,12.9,103283,0
20140730,13,13.07,12.81,12.94,80595,0
20140731,12.94,13.09,11.9,12.86,154343,0
20140801,12.99,13.329,12.87,13.04,132201,0
20140804,13,13,12.7,12.76,59865,0
20140805,12.75,12.75,12.59,12.66,18252,0
20140806,12.65,12.88,12.62,12.64,26094,0
20140807,12.67,12.88,12.2,12.71,43441,0
20140808,12.71,13.04,12.7,12.95,35804,0
20140811,12.7,13.33,12.7,13.33,38237,0
20140812,13.3,15.249,13.07,14.69,168456,0
20140813,14.71,15,14.244,14.4,42861,0
20140814,14.44,14.49,13.8,14.31,139448,0
20140815,14.23,14.49,13.8,14.02,10774,0
20140818,13.82,14.41,13.82,14.33,25569,0
20140819,14.72,14.85,14.02,14.57,119070,0
20140820,14.74,15.2,14.38,14.97,115253,0
20140821,15.03,16.33,14.96,15.8,74220,0
20140822,15.68,15.97,14.92,15.39,74979,0
20140825,14.9,15.9,14.9,15.9,43102,0
20140826,15.9,16.2,15.82,16.05,69670,0
20140827,16.2,16.85,16.2,16.6,38625,0
20140828,16.45,16.97,16.26,16.48,27162,0
20140829,16.44,16.56,16,16.47,49197,0
20140902,16.9,16.9,15.41,15.71,109419,0
20140903,15.7,16.39,15.7,16.1,113513,0
20140904,16.2,16.32,15.17,15.91,95947,0
20140905,16.36,16.36,15.5,15.92,84846,0
20140908,15.81,16,15.61,15.71,39250,0
20140909,15.65,16.495,15.635,16.08,103540,0
20140910,15.86,16.8,15.347,16.1,59760,0
20140911,15.81,16.72,15.68,16.41,96958,0
20140912,16.22,16.59,15.87,16.37,150660,0
20140915,16.19,16.46,15.35,16.24,118379,0
20140916,16.36,16.4,15.49,15.78,155099,0
20140917,15.7,16.32,15.525,16.03,59199,0
20140918,16.09,16.33,15.53,15.74,47886,0
20140919,15.68,15.995,14.58,14.58,183603,0
20140922,14.59,15.13,13.86,13.97,121088,0
20140923,13.91,14.85,13.81,14.28,115013,0
20140924,14.27,15.8,14.12,15.59,65195,0
20140925,15.61,15.7,14.64,14.94,62246,0
20140926,15.35,15.35,14.89,14.98,55929,0
20140929,14.96,15.75,14.6,14.77,76834,0
20140930,14.97,15.6,14.55,14.97,676753,0
20141001,15.01,15.43,13.69,13.97,59398,0
20141002,14.03,14.71,13.86,14.09,56206,0
20141003,14.21,15.49,14.21,14.97,60616,0
20141006,14.61,15.6,14.23,14.53,46257,0
20141007,14.41,15.03,13.99,14.01,46215,0
20141008,14.02,14.69,13.996,14.48,41798,0
20141009,14.7,15.09,14.08,14.28,65405,0
20141010,14.27,14.71,14.13,14.26,43534,0
20141013,14.28,14.86,14,14.53,76379,0
20141014,14.58,14.73,13.74,13.82,44241,0
20141015,13.69,14.02,13.225,13.99,105559,0
20141016,14.05,14.48,13.3,14.39,56523,0
20141017,14.49,14.49,13.22,13.57,34819,0
20141020,13.57,14.42,13.56,14.3,46019,0
20141021,14.31,14.61,13.71,13.86,104083,0
20141022,14.05,14.12,13.55,13.62,37338,0
20141023,13.58,13.76,13,13.47,59966,0
20141024,13.5,13.88,13.06,13.44,74889,0
20141027,13.62,13.88,13.23,13.64,47122,0
20141028,14.11,14.38,13.74,14.33,24965,0
20141029,14.29,15.074,14.004,14.9,92350,0
20141030,14.89,15.12,14.29,15.09,162765,0
20141031,15.24,15.46,15.04,15.27,39561,0
20141103,15.2,15.44,15.2,15.39,20352,0
20141104,15.02,15.29,14.88,15.2,29609,0
20141105,15.14,15.29,14.74,14.98,32818,0
20141106,14.76,15.6,14.7,15.51,67649,0
20141107,15.51,15.6,15.37,15.53,33481,0
20141110,15.52,15.59,15.122,15.57,42993,0
20141111,15.6,15.84,15.34,15.81,41244,0
20141112,15.65,16.02,15.01,16,113325,0
20141113,16,16.98,15.77,16.7,173033,0
20141114,16.75,17,16.44,16.88,78464,0
20141117,16.8,17.5,16.36,16.95,179816,0
20141118,16.95,17.1,16.281,16.9,92777,0
20141119,16.48,17.1,15.76,15.89,80051,0
20141120,15.81,16.37,15.16,15.42,58263,0
20141121,15.38,15.9,15.31,15.54,39008,0
20141124,16.13,17.34,15.9,16.8,79673,0
20141125,16.93,18.37,16.82,18.19,99897,0
20141126,17.88,18.35,17.03,17.57,100236,0
20141128,17.64,17.64,16.81,16.92,36681,0
20141201,16.8,17.335,16.58,17.06,97152,0
20141202,16.76,17.31,16.76,17.23,182591,0
20141203,17.01,17.8,16.9,17.67,57366,0
20141204,17.71,17.71,16.54,17.01,66382,0
20141205,17.06,18.49,17.01,18.43,60867,0
20141208,18.68,19.09,18.19,18.93,51410,0
20141209,18.47,18.54,16.27,18.04,91390,0
20141210,18.06,18.45,17.72,18.33,57956,0
20141211,18.31,18.72,17.78,18.55,125050,0
20141212,18.39,19.67,18.39,19.46,169249,0
20141215,19.27,19.46,18.61,19.27,171852,0
20141216,19.27,20.69,18.38,19.81,47237,0
20141217,20.17,20.26,19.57,20.24,74926,0
20141218,20.58,20.58,19.66,20.48,46550,0
20141219,20.43,21.88,20.26,21.74,72781,0
20141222,21.88,23.09,21.55,22.25,47960,0
20141223,22.42,24.21,21.7,22.23,56397,0
20141224,22.18,23.96,22.18,22.9,40973,0
20141226,22.87,23.33,22.32,23.02,33432,0
20141229,22.65,23.52,22.52,23.2,57867,0
20141230,23.12,23.15,21.52,22.3,47247,0
20141231,22.6,23.71,22.175,23.52,46587,0
20150102,23.51,24.993,23.31,24.47,41424,0
20150105,24.42,24.59,23.4,23.89,126612,0
20150106,23.19,24.05,20.63,20.93,89750,0
20150107,21.15,21.8,19.55,21.65,58564,0
20150108,21.92,22.453,21.14,21.38,46269,0
20150109,21.3,21.955,20.57,21.81,30873,0
20150112,21.72,22.33,21.335,21.77,36122,0
20150113,22.21,23.25,21.92,23,61483,0
20150114,22.71,23.15,21.91,22.6,82828,0
20150115,22.75,23.52,20.29,23.205,207478,0
20150116,23.15,24.88,22.63,24.87,83921,0
20150120,24.99,25.54,24.52,24.62,116225,0
20150121,24.93,25.41,23.46,25.05,89611,0
20150122,24.681,26.6,24.22,26.04,236267,0
20150123,26.135,26.87,25.11,26.35,160639,0
20150126,26.24,27.711,25.725,27.16,47755,0
20150127,27.02,28.4,27,27.77,167599,0
20150128,28.2,29.27,27.9,28.83,184844,0
20150129,28.99,30.45,28.37,30.23,288341,0
20150130,30.54,30.75,30.05,30.48,126795,0
20150202,31,32.38,30.06,30.67,106841,0
20150203,30.08,30.97,30,30.64,81078,0
20150204,30.13,30.48,29.825,30.07,88047,0
20150205,30.2,31.08,29.888,30.45,543696,0
20150206,30.285,31.051,30.2,30.82,279308,0
20150209,30.88,31.81,30.01,30.32,201324,0
20150210,30.67,30.845,29.84,30.49,66082,0
20150211,30.55,31.65,30.14,31.54,76577,0
20150212,31.572,31.825,30.997,31.26,34314,0
20150213,31.43,31.43,30.75,31.25,46992,0
20150217,31.14,31.474,30.98,31.3,39239,0
20150218,31.32,31.32,30.69,30.99,26866,0
20150219,30.875,31.376,30.875,31.32,40339,0
20150220,31.42,31.65,31.065,31.37,57015,0
20150223,31.53,34.7,31.1,34.43,259148,0
20150224,34.3,35.09,33.93,34.12,214780,0
20150225,33.97,34.01,32.48,33.63,165752,0
20150226,33.82,35.48,33.82,35.06,236626,0
20150227,35,36.98,34.585,35.77,155988,0
20150302,33.94,37.47,33.94,35.52,320100,0
20150303,35.74,36.27,34.03,35.98,185400,0
20150304,35.97,40.62,35.24,39.22,448000,0
20150305,39.03,40.35,38.75,39.76,194400,0
20150306,39.55,40.32,39.15,39.6,219700,0
20150309,39.76,40.6,38.72,40.25,173800,0
20150310,40,40.93,37.77,39.46,752500,0
20150311,40.31,43.96,39.74,43,462200,0
20150312,43.38,43.93,42.26,42.75,147400,0
20150313,43,43.59,41.7,42.95,139900,0
20150316,43.4,43.4,40.87,41.48,402800,0
20150317,41.48,42.69,40.3,42.28,164500,0
