Date,Open,High,Low,Close,Volume,OpenInt
20170428,20,20.3,19.25,20.01,4577678,0
20170501,19.56,20.989,19.56,20.45,191186,0
20170502,20.51,20.6884,20.3504,20.51,110934,0
20170503,20.47,21.02,20.211,20.71,300906,0
20170504,20.66,21.31,20.03,20.03,280723,0
20170505,20.44,20.44,19.975,20.04,49369,0
20170508,20.03,21.5,20.03,21.32,69342,0
20170509,21.47,21.97,20.2,21.16,109906,0
20170510,21.17,21.58,20.73,20.84,41599,0
20170511,20.96,21.94,20.96,20.97,152666,0
20170512,21.01,21.03,20.71,20.87,16760,0
20170515,20.91,21.58,20.725,21.14,91919,0
20170516,21.03,22.47,21.03,21.85,492941,0
20170517,21.3,23.085,21.3,22.86,82636,0
20170518,22.85,24.25,22.3,22.88,76146,0
20170519,22.45,24.415,22.3,24.09,150512,0
20170522,24.45,24.45,23.54,23.95,104342,0
20170523,23.17,24.675,22.335,24.07,181185,0
20170524,24.1,25.87,23.375,24.77,168337,0
20170525,25,26.86,24.03,25.22,181950,0
20170526,25.45,28.2,24.86,27.04,302844,0
20170530,27.1,29.07,25.32,26.12,266225,0
20170531,26.14,26.75,24.5,26.24,243305,0
20170601,26.49,27.85,25.88,26.41,156548,0
20170602,26.36,26.46,25.325,25.97,163532,0
20170605,26.44,26.8,25.25,26.05,109751,0
20170606,25.43,26.5,25.14,26.11,137155,0
20170607,26.02,26.27,24.3,25.1,119832,0
20170608,24.94,26.07,24.51,25.77,219448,0
20170609,25.7,26.04,25,25.79,120513,0
20170612,25.8,26.438,25.05,26.23,170402,0
20170613,26.3,26.64,25.792,26.17,98171,0
20170614,26.17,26.29,25.16,25.9,92216,0
20170615,25.61,25.9,24.7,24.92,83895,0
20170616,24.74,25.1,23.02,23.23,786433,0
20170619,23.3,24.46,22.8683,24.12,80906,0
20170620,24.05,24.25,23.05,24.11,64581,0
20170621,24.11,24.11,21.59,22.06,292585,0
20170622,22,23,21.825,21.99,231451,0
20170623,22.07,22.97,21.98,22.69,1381182,0
20170626,22.51,22.745,21.59,22.07,119748,0
20170627,21.97,23.65,21.86,23,202983,0
20170628,22.565,24.38,22.565,23.5,81890,0
20170629,23.78,24.66,23.78,24.42,96158,0
20170630,25.01,25.355,23.39,25.18,123019,0
20170703,25.28,25.96,25.268,25.66,47525,0
20170705,25.89,25.89,24.44,24.84,87018,0
20170706,24.74,24.74,22.34,23.02,142663,0
20170707,23.02,23.49,22.7,22.78,54854,0
20170710,22.75,24.49,21.537,24.4,53590,0
20170711,24.24,24.46,22.481,23.03,108450,0
20170712,23.15,23.3,22.55,22.91,114534,0
20170713,22.94,23.505,22.36,22.95,169203,0
20170714,22.83,23.462,22.7,23.12,56760,0
20170717,23.18,24.19,22.6,22.85,108527,0
20170718,22.91,23.18,22.33,22.64,117921,0
20170719,22.71,23.33,22.69,23.18,45245,0
20170720,23.37,24.1,22.78,23.74,178781,0
20170721,23.95,23.95,21.731,22.59,161268,0
20170724,22.59,23.58,21.42,21.9,141201,0
20170725,21.97,23.21,21.4401,22.26,137757,0
20170726,22.33,23.92,21.42,22.25,57179,0
20170727,22.28,22.81,21.303,22.06,88500,0
20170728,21.99,23.13,21.01,22.03,118689,0
20170731,22.19,22.77,21.64,22.45,94038,0
20170801,22.59,22.59,20.21,20.9,169434,0
20170802,21,22.02,20.78,20.93,170370,0
20170803,21.03,21.16,20.41,21,76975,0
20170804,20.99,21.81,20.99,21.72,48678,0
20170807,21.77,21.77,20.81,21.39,84420,0
20170808,22.735,22.735,20.9314,21.31,104678,0
20170809,21.3,21.6625,20.68,21.39,179015,0
20170810,21.55,22.22,20.84,21.84,134000,0
20170811,21.84,22.25,21.45,21.86,100926,0
20170814,22.02,22.44,21.53,22.04,55121,0
20170815,21.89,22.135,21.5,21.62,79797,0
20170816,21.5,21.99,21.36,21.61,124206,0
20170817,21.5,21.61,19.89,20.03,86697,0
20170818,19.89,20.36,19.8,19.94,161973,0
20170821,19.85,20,19.26,19.42,54362,0
20170822,19.45,19.86,18.52,19.24,80075,0
20170823,19.1,19.58,18.17,19.11,83985,0
20170824,19.13,19.73,18.72,19.57,98978,0
20170825,19.47,19.98,19.155,19.83,35031,0
20170828,19.95,20.75,19.13,19.59,72477,0
