Date,Open,High,Low,Close,Volume,OpenInt
20161012,22.75,23,21.83,21.85,19492251,0
20161013,21.79,21.94,21.27,21.4,3237336,0
20161014,21.58,21.94,21.01,21.78,1365316,0
20161017,22.1,22.1,21.1,21.51,983220,0
20161018,21.8,21.87,21.24,21.71,660629,0
20161019,21.7,23.12,21.42,22.28,1826159,0
20161020,22.13,22.73,22,22.36,1219264,0
20161021,22.34,22.79,21.97,22.17,471528,0
20161024,22.1,23,21.5,22.58,585474,0
20161025,22.45,22.94,22.36,22.5,529150,0
20161026,22.27,22.44,21.52,21.59,1084784,0
20161027,21.7,22.32,21.1202,22.06,716130,0
20161028,22.12,22.12,21.28,21.93,425493,0
20161031,21.81,22.25,21.01,21.36,611654,0
20161101,21.52,21.81,21.05,21.15,514119,0
20161102,21.01,21.35,20.05,20.59,1092879,0
20161103,20.63,21,19.55,20.42,1421931,0
20161104,20.46,20.54,19.51,20.42,1186045,0
20161107,20.51,21.14,20.15,20.61,1723246,0
20161108,20.63,20.63,19.51,19.91,1826905,0
20161109,19.94,21.355,19.72,21.09,1677068,0
20161110,20.99,21.65,20.08,20.6,1256495,0
20161111,20.36,20.595,19.53,20.29,1356952,0
20161114,20.15,20.6,19.71,20.45,603858,0
20161115,20.51,22.47,20.4,21.91,789194,0
20161116,21.71,22.46,21.155,21.67,273605,0
20161117,21.77,22.16,20.96,21.33,285846,0
20161118,21.3,22.4,21.245,22.18,315005,0
20161121,22.41,23.93,22.23,23.49,1092482,0
20161122,23.75,23.8858,22.63,23.22,442394,0
20161123,22.86,23.5,22.6,22.94,589669,0
20161125,22.89,22.89,21.935,22.18,253025,0
20161128,22.17,22.5,20.66,21,1098259,0
20161129,21.05,21.57,20,20.7,810216,0
20161130,22.5,24,22.16,23.53,3072937,0
20161201,23.67,25.08,22.94,23.56,1630377,0
20161202,23.66,24.355,23.34,23.72,589586,0
20161205,23.75,23.75,21.9,22.5,3330567,0
20161206,22.5,22.5,21.33,21.34,2087110,0
20161207,21.33,21.985,19.87,20.36,1138852,0
20161208,20.5,21.45,20.23,20.8,1100829,0
20161209,20.88,21.0299,20.27,20.71,760450,0
20161212,20.5,20.5,19.54,20,2700178,0
20161213,20.23,20.6,19.59,20.31,1487667,0
20161214,20.07,20.6799,19.1,19.57,1364639,0
20161215,19.41,19.89,19.23,19.65,1033695,0
20161216,19.72,20.64,19.37,20.29,4031626,0
20161219,20.34,20.54,19.725,20.16,770121,0
20161220,20.37,20.42,19.915,20.19,1408636,0
20161221,20.2,20.32,19.95,20.21,1153378,0
20161222,20.23,20.655,20,20.5,806543,0
20161223,20.14,20.3,19.9,20.04,481806,0
20161227,20.15,20.15,19.58,19.81,763173,0
20161228,19.76,20.11,19.6,20.06,894052,0
20161229,20.06,20.34,19.72,19.94,885575,0
20161230,19.89,20.53,19.79,20.04,600181,0
20170103,20.48,20.49,19.73,19.96,810583,0
20170104,19.93,19.93,19.4,19.84,705615,0
20170105,19.9,20.08,19.704,19.9,588764,0
20170106,19.92,20,19.63,19.75,711382,0
20170109,19.52,19.71,19.01,19.06,927669,0
20170110,19.09,19.14,18.34,18.89,574622,0
20170111,18.95,19.03,18.63,18.79,382366,0
20170112,19,19,18.52,18.62,750514,0
20170113,18.48,18.725,18.24,18.37,948354,0
20170117,18.55,18.7199,18.17,18.46,968540,0
20170118,18.26,18.55,18.1,18.25,501180,0
20170119,18.28,18.9,18.09,18.82,548999,0
20170120,18.97,19.23,18.59,18.75,883698,0
20170123,18.58,18.929,18.2,18.4,474427,0
20170124,18.4,19.14,18.25,18.86,413439,0
20170125,18.83,19.776,18.59,19.21,893265,0
20170126,19.37,20,19.2,19.24,499226,0
20170127,19.09,19.49,18.92,19.2,502336,0
20170130,19.05,19.31,18.18,18.36,860258,0
20170131,18.46,18.46,17.73,17.92,988477,0
20170201,18.01,18.01,17.105,17.28,2111113,0
20170202,17.3,17.45,16.83,16.95,1552307,0
20170203,17.04,17.54,17,17.27,1197988,0
20170206,17.84,18.19,16.61,17.32,1738098,0
20170207,17.65,18.36,16.79,16.93,3084329,0
20170208,16.8,17.135,16.16,16.51,1636493,0
20170209,16.64,17.36,16.31,17.34,1963804,0
20170210,17.58,18.27,17.36,17.92,1331310,0
20170213,17.92,18.26,17.91,18.1,583408,0
20170214,18.15,18.62,17.74,18.03,805450,0
20170215,18,18.6,17.97,18.55,1672022,0
20170216,18.51,19.13,18.4,18.82,1043637,0
20170217,18.63,18.94,18.57,18.8,928993,0
20170221,18.99,19.22,18.83,19.18,909645,0
20170222,19.07,19.1187,18.25,18.46,1412419,0
20170223,18.76,18.865,17.71,18.08,1212425,0
20170224,17.84,18.03,17.425,17.46,531761,0
20170227,17.54,17.78,17.32,17.51,878829,0
