Date,Open,High,Low,Close,Volume,OpenInt
20161026,14.16,14.86,13,13,3863266,0
20161027,13,13.19,12.5,13,736779,0
20161028,13,13.09,12.51,12.89,148148,0
20161031,12.9,12.98,12.76,12.85,30810,0
20161101,13.52,13.52,12.33,13,211041,0
20161102,12.84,12.99,12.75,12.78,56396,0
20161103,12.91,12.91,12.74,12.74,50134,0
20161104,12.7899,12.89,12.75,12.75,56375,0
20161107,12.75,13.52,12.75,13.27,57755,0
20161108,13.05,13.3,13.05,13.05,128590,0
20161109,13,13.5,13,13.29,18812,0
20161110,13.79,13.79,13.14,13.33,34511,0
20161111,13.04,13.5855,12.48,13.31,81400,0
20161114,13.26,14,13.26,14,48843,0
20161115,13.43,13.99,13.43,13.89,17596,0
20161116,13.785,13.95,13.1,13.55,36742,0
20161117,13.66,13.79,13.37,13.37,18315,0
20161118,13.38,13.65,12.81,13.29,25944,0
20161121,13.4,13.85,13,13.0901,120954,0
20161122,13.11,13.4,13,13,57649,0
20161123,13.18,13.18,12.995,13,98305,0
20161125,13.18,13.18,13.0101,13.14,17660,0
20161128,13.14,13.18,12.92,12.99,86037,0
20161129,13,13.18,12.92,13,33939,0
20161130,12.75,13.31,12.75,13.09,71906,0
20161201,13.07,13.38,12.76,12.92,94183,0
20161202,12.99,13.13,12.0511,12.96,85209,0
20161205,13.08,13.91,12.84,13.51,67852,0
20161206,13.4,13.94,13.0011,13.69,57600,0
20161207,13.66,13.85,13.1808,13.75,64155,0
20161208,13.69,13.69,13.1501,13.21,52914,0
20161209,13.15,13.5782,12.605,13.105,115753,0
20161212,13,13.75,12.8,13.61,105576,0
20161213,13.74,13.76,13.16,13.75,24624,0
20161214,13.63,13.75,13.26,13.43,36328,0
20161215,13.52,13.63,12.63,13,87341,0
20161216,12.88,13.59,12.65,13.07,629318,0
20161219,12.92,14.15,12.875,14.1,112964,0
20161220,14.15,14.75,13.85,14.44,89559,0
20161221,14.49,15.39,14.17,15.37,51064,0
20161222,15.3,16.56,14.95,16.14,57096,0
20161223,16,16.14,15.75,16.05,47976,0
20161227,16.06,16.06,14.978,15.49,61857,0
20161228,14.98,15.56,14.0741,14.82,45603,0
20161229,14.16,15.28,14.16,15,34864,0
20161230,15,15.26,14.89,15.19,45923,0
20170103,15.3,15.55,14.77,15.19,84693,0
20170104,15.27,15.49,14.905,15.33,58849,0
20170105,15.44,16.005,15.125,15.82,42038,0
20170106,15.99,15.99,15,15.13,76377,0
20170109,15.37,15.37,14.8,15.03,60316,0
20170110,14.96,15.17,14.41,14.92,76893,0
20170111,14.9774,15.35,13.83,15.3,67756,0
20170112,15.25,15.25,14.82,15,14890,0
20170113,15.05,15.5,14.8814,15.34,19463,0
20170117,15.26,15.36,14.54,14.94,37477,0
20170118,14.95,14.95,14.5,14.59,20296,0
20170119,14.65,14.9878,14.02,14.05,36985,0
20170120,14.05,14.94,14.05,14.77,36616,0
20170123,14.71,16.06,14.3,15.79,83607,0
20170124,15.93,16.37,15.185,16.16,64247,0
20170125,16.16,16.65,15.77,16.16,96964,0
20170126,15.31,16.215,15.24,16.12,32958,0
20170127,15.99,16.11,15.53,15.93,7236,0
20170130,16.03,16.03,15.155,15.76,28910,0
20170131,15.78,16.11,15.32,15.94,62793,0
20170201,15.9,17.155,15.82,16.64,29911,0
20170202,16.76,16.76,16.01,16.48,30215,0
20170203,16.66,18.44,16.3,18.23,48513,0
20170206,17.98,18.35,17.92,18.24,26450,0
20170207,18.4,18.4,17.5373,18.17,33119,0
20170208,18.18,18.18,17.37,17.98,33103,0
20170209,17.9,19.85,17.87,19.31,47426,0
20170210,19.73,22.48,19.22,22.15,89627,0
20170213,22.73,24.12,21.44,21.78,84050,0
20170214,21.46,21.46,20.44,20.94,134875,0
20170215,20.78,23.61,20.68,22.55,122422,0
20170216,22.85,22.85,21.81,22.01,54602,0
20170217,22,22,21.44,21.76,83062,0
20170221,21.98,22.58,21.56,22.43,47712,0
20170222,22.47,22.5198,21.56,21.84,47301,0
20170223,21.95,21.95,20.59,20.94,41168,0
20170224,20.3716,21.1,19.95,20.94,43403,0
20170227,21.9389,21.9389,20.62,20.9,145324,0
20170228,20.96,21.07,20.07,20.94,54506,0
20170301,21.53,21.53,20.175,20.95,94045,0
20170302,21.01,21.35,20.6,20.83,47672,0
20170303,20.101,20.95,20.07,20.4,21999,0
20170306,20.34,20.51,19.68,20.19,35142,0
20170307,20.59,20.73,19.49,19.88,66562,0
20170308,20,21.47,19.97,20.84,63746,0
20170309,20.79,21.55,20.24,20.89,58916,0
20170310,20.75,21.49,20.46,21.03,98681,0
20170313,20.6,23.11,20.6,22.15,168712,0
20170314,22.06,22.41,21.34,21.84,73980,0
20170315,22.19,23.06,21.865,22.42,163423,0
20170316,22.57,22.57,21.84,22.04,96158,0
20170317,21.82,22.296,21.2675,21.96,127426,0
20170320,22.36,22.599,21.2001,22,41438,0
20170321,21.74,22.2,21.27,21.8,105350,0
20170322,21.6,22.27,21.0826,22,72528,0
20170323,21.9,22.35,21.39,22.1,101647,0
20170324,22.42,22.54,21.76,22.1,126112,0
