Date,Open,High,Low,Close,Volume,OpenInt
20131113,11.1,11.4,10.75,10.88,1390960,0
20131114,10.88,11.05,10.84,11,75798,0
20131115,11.05,11.33,11,11.01,60527,0
20131118,11.01,11.14,11,11.14,46316,0
20131119,11,11.15,10.85,11,211395,0
20131120,11,11.05,10.97,11.05,47565,0
20131121,11.05,11.14,11.03,11.1,102160,0
20131122,11.1,11.1,11,11.02,86860,0
20131125,11,11.04,10.95,11,223948,0
20131126,10.99,11,10.95,10.96,50959,0
20131127,10.95,11,10.95,11,24331,0
20131129,11,11.1,11,11.1,33185,0
20131202,11.1,11.1,10.95,10.95,58320,0
20131203,10.95,10.96,10.95,10.95,10993,0
20131204,10.95,11,10.95,11,44649,0
20131205,11.08,11.08,10.76,10.8,803108,0
20131206,10.8,11,10.79,10.9,52733,0
20131209,11,11,10.9,10.93,108429,0
20131210,11,11,10.88,10.97,77363,0
20131211,10.4,10.9,10.4,10.88,21233,0
20131212,10.8,10.8,10.55,10.55,15601,0
20131213,10.4,10.54,10.35,10.45,21585,0
20131216,10.5,10.5,10.01,10.15,25571,0
20131217,10.01,10.1,9.53,9.74,72374,0
20131218,10,10.2,9.84,9.95,142895,0
20131219,10,10,9.86,9.94,137155,0
20131220,10,10.08,9.99,10.01,218621,0
20131223,9.96,10.5,9.94,10.46,36339,0
20131224,10.25,10.69,10.15,10.59,71097,0
20131226,10.69,10.69,10.4,10.63,12829,0
20131227,11.1,11.21,10.82,11.09,44417,0
20131230,11.25,11.25,11,11.01,40298,0
20131231,11,11.11,10.9,11.11,203224,0
20140102,11,11.1,10.92,11.07,36233,0
20140103,11.1,11.1,10.95,11.04,20139,0
20140106,11.1,11.1,10.77,11.07,16390,0
20140107,11.08,11.09,10.95,10.95,77505,0
20140108,10.87,11,10.87,11,14017,0
20140109,11.02,11.05,10.7,10.94,16968,0
20140110,10.94,10.97,10.84,10.84,17138,0
20140113,10.82,10.87,10.71,10.8,31280,0
20140114,11,11,10.66,10.66,9902,0
20140115,10.52,10.63,10.4,10.61,18403,0
20140116,10.5,10.71,10.5,10.59,13901,0
20140117,10.43,10.68,10.07,10.36,49964,0
20140121,10.8,10.8,10.3,10.35,17970,0
20140122,10.34,10.39,10.25,10.3,43005,0
20140123,10.32,10.32,9.74,9.86,90521,0
20140124,9.78,9.87,9.25,9.27,103225,0
20140127,9.17,9.41,8.6,9.36,41411,0
20140128,9.45,9.93,9.45,9.69,43421,0
20140129,9.58,9.74,9.56,9.56,24137,0
20140130,9.65,9.65,9.52,9.56,17706,0
20140131,9.44,9.45,9.35,9.4,84886,0
20140203,9.32,9.39,9.18,9.39,14221,0
20140204,9.43,9.43,8.94,8.95,131272,0
20140205,8.9,8.94,8.83,8.94,129638,0
20140206,8.9,9.39,8.9,9.39,7260,0
20140207,9.45,9.96,9.43,9.9,12448,0
20140210,10,10.75,10,10.53,33856,0
20140211,10.56,10.75,10.42,10.71,21104,0
20140212,10.8,11,10.72,10.81,72075,0
20140213,10.8,10.8,9.46,10.34,206586,0
20140214,10.33,10.4,10.24,10.26,56585,0
20140218,10.26,10.4,9.99,10.21,18340,0
20140219,10.2,10.3,10.12,10.15,39473,0
20140220,10.21,10.5,10,10.25,402021,0
20140221,10.25,10.3,9.91,10.3,82754,0
20140224,10.26,10.61,10.26,10.61,13827,0
20140225,10.65,11.47,10.5,11.35,175641,0
20140226,11.41,12.41,11.2,12.15,192709,0
20140227,12.15,12.28,12,12.15,73024,0
20140228,12.33,13.17,12.21,13.03,205106,0
20140303,12.9,13.7,12.87,13.4,74232,0
20140304,13.4,14.1,13.3,14.1,231552,0
20140305,14.06,15,13.63,14.92,205942,0
20140306,14.96,15.24,14.48,15.2,84227,0
20140307,15.23,15.52,14.15,14.24,213630,0
20140310,14.2,15,13.79,14.99,65887,0
20140311,14.99,15.26,14.55,14.92,239986,0
20140312,14.96,15.26,14.87,15.19,48581,0
20140313,15.3,15.45,14.97,14.99,258371,0
20140314,15.05,15.2,14.83,15.03,152907,0
20140317,15.4,15.4,14.94,15,97898,0
20140318,14.89,15.04,14.81,14.99,178427,0
20140319,15,15.12,14.47,14.91,44800,0
20140320,14.85,14.85,14.45,14.7,12437,0
20140321,14.72,14.84,14.52,14.67,24459,0
20140324,14.63,14.88,14.1,14.78,41893,0
20140325,14.76,14.84,14.22,14.78,10492,0
20140326,14.88,14.94,13.33,13.95,150700,0
20140327,13.94,14.15,13.75,14.04,18736,0
20140328,13.9,15.17,13.67,14.66,101537,0
20140331,14.62,16.3,14.24,16.07,222018,0
20140401,16.01,16.34,15.76,16.13,176287,0
20140402,16.15,16.15,15.73,15.93,91834,0
20140403,16.1,16.1,15.42,15.57,28753,0
20140404,15.48,16.02,15.48,15.86,28439,0
20140407,15.88,15.88,15.47,15.5,88711,0
20140408,15.56,15.56,14.78,15.21,86447,0
20140409,15.3,15.36,14.94,15.16,24866,0
20140410,15.08,15.2,14.64,15.06,85148,0
20140411,14.91,15.01,14.72,14.9,10449,0
20140414,14.75,15.86,14.75,15.49,40827,0
20140415,15.47,16.25,15.33,16.05,76176,0
20140416,16.16,16.78,15.89,16.41,73309,0
20140417,16.4,16.4,15.87,16.15,46248,0
20140421,16.16,16.7,16,16.61,70790,0
20140422,16.78,16.97,16.35,16.73,97255,0
20140423,16.8,16.8,16.26,16.37,25915,0
20140424,16.21,16.36,15.81,16.07,70431,0
20140425,16.12,16.12,15.41,15.77,20907,0
20140428,15.82,16,15.63,15.68,44184,0
20140429,15.8,16.15,15.51,15.82,71024,0
20140430,15.75,16.15,15.67,16,25595,0
20140501,16.05,16.79,16,16.56,55140,0
20140502,16.49,16.66,16.3,16.4,39964,0
20140505,16.38,16.57,16.14,16.15,32902,0
20140506,16.12,16.24,15.71,15.73,20261,0
20140507,15.59,16.18,14.7,15.77,86198,0
20140508,15.6,16.27,15.53,15.72,49787,0
20140509,15.68,16.02,15.28,15.36,61661,0
20140512,15.29,15.5,15.13,15.19,38154,0
20140513,15.21,15.3,14.92,14.98,60364,0
20140514,15.02,16.26,14.9,16.19,45266,0
20140515,16.2,16.38,15.5,15.9,79017,0
20140516,16,16.22,15.35,15.82,37692,0
20140519,15.83,16.07,15.78,16.03,26871,0
20140520,16.08,16.08,15.09,15.59,71775,0
20140521,15.74,16.22,15.55,15.89,46565,0
20140522,15.8,15.8,15.19,15.4,43148,0
20140523,15.52,16.47,15.46,16.04,109444,0
20140527,16.04,16.13,15.27,15.65,54812,0
20140528,15.52,16.4,15.47,16.07,112223,0
20140529,15.91,16.15,15.85,16.03,26191,0
20140530,16.03,16.25,15.58,15.99,77210,0
20140602,16.05,16.1,15.86,16,87115,0
20140603,15.9,16.2,15.9,16.17,50686,0
20140604,16,16.16,15.85,15.91,33417,0
20140605,15.96,16.19,15.75,15.98,23936,0
20140606,15.98,16.2,15.92,16.02,52901,0
20140609,16.18,16.98,16.05,16.08,62648,0
