Date,Open,High,Low,Close,Volume,OpenInt
20161212,21.06,23,21,22.8475,1053587,0
20161213,21.86,22.82,21.7799,22.25,949817,0
20161214,23.05,24.58,22.2,24.46,1997069,0
20161215,25.34,25.415,23.67,24.2299,961038,0
20161216,23.71,24.02,22.86,23.07,1065725,0
20161219,23.22,24.55,22.7281,24.55,3557033,0
20161220,22.3,22.87,22.0674,22.68,2150846,0
20161221,22.48,23.9,22.3,23.64,1221197,0
20161222,23.36,23.5124,22.7665,23.5124,1071878,0
20161223,23.56,23.6299,22.85,22.9399,750093,0
20161227,22.42,22.42,21.6,21.93,1606808,0
20161228,21.68,21.85,21.3,21.82,1502969,0
20161229,21.77,22.18,21.48,21.98,2177334,0
20161230,22.31,22.35,21.9601,21.9601,1037601,0
20170103,20.45,23.95,20.37,23.4399,2895148,0
20170104,23.6,23.9252,22.33,22.66,1120582,0
20170105,21.94,23.0366,21.39,21.94,2635883,0
20170106,21.58,22.35,21.3,21.99,1949646,0
20170109,22.86,24.16,22.85,24.02,2266835,0
20170110,23.76,25.59,23.67,25.54,2582004,0
20170111,24.66,25.61,22.67,23.46,3205502,0
20170112,22,22.8038,21.9,22.42,2019600,0
20170113,22.96,23.35,22.5,23.08,1691918,0
20170117,21.97,23.21,21.9,23.1,1798541,0
20170118,24.5,25.06,23.3974,24.54,2483116,0
20170119,24.04,24.98,23.76,24.5,1607814,0
20170120,22.66,23.2,22.4,23.14,2890596,0
20170123,24.13,24.1943,23.18,23.5001,1754526,0
20170124,23.25,23.25,22.58,23.24,2385761,0
20170125,23.64,23.7881,22.71,23.51,2970592,0
20170126,22.76,22.88,21.9,22.22,4282568,0
20170127,23,23.7,22.72,22.9889,2943080,0
20170130,23.26,23.92,23.2308,23.6,2495024,0
20170131,22.97,23.6858,22.46,23.39,3528961,0
20170201,22.77,23.4,22.02,22.42,6991172,0
20170202,21.87,22.66,21.77,22.1899,5204370,0
20170203,22.34,22.5,21.62,22.08,3886041,0
20170206,22.18,23.1768,22.05,22.89,2449947,0
20170207,24,24.5899,23.88,24.02,3189850,0
20170208,24.56,25.06,23.481,23.83,4160860,0
20170209,22.86,23.4,22.8,23.0579,2147266,0
20170210,21.98,22.25,21.7,22.05,4427563,0
20170213,22.86,23.245,22.7,23.1,2523042,0
20170214,22.2,22.94,22.1701,22.76,2758324,0
20170215,23.03,23.1501,22.35,22.92,2435542,0
20170216,22.42,23.45,22.36,22.59,3819997,0
20170217,23.1,23.21,22.556,22.6499,1863187,0
20170221,21.33,22.02,21.31,21.88,7012897,0
20170222,22.77,23.03,22.64,22.77,2820131,0
20170223,21.43,22.06,21.15,21.85,6728272,0
20170224,22.27,22.29,21.9497,22.1815,3150252,0
20170227,21.66,22.25,21.595,22.14,2420733,0
20170228,22.81,23.2,22.1893,22.21,3842031,0
20170301,21.9,22.55,21.74,22.52,3823952,0
20170302,23.66,23.99,23.1697,23.86,2891221,0
20170303,23.74,23.7899,22.91,23.1,1850267,0
20170306,22.89,23.37,22.68,23.13,1986486,0
20170307,22.54,23.27,22.52,23.27,2176014,0
20170308,24.15,27.21,23.58,26.95,4522728,0
20170309,27.72,29.62,27.61,27.9,3912215,0
20170310,28.07,30.2,28.07,29.96,3644711,0
20170313,29.96,30.54,29.54,30.07,1839315,0
20170314,31.58,32.32,30.64,30.74,5678430,0
20170315,29.76,30.3313,28.83,29.13,2999272,0
20170316,29.01,29.81,28.9647,29.22,1650041,0
20170317,28.73,29.58,28.7,29.38,1068362,0
