Date,Open,High,Low,Close,Volume,OpenInt
20060615,5.45,5.45,5.35,5.36,754212464,0
20060616,5.4,5.4,5.4,5.4,10000,0
20060622,5.35,5.35,5.35,5.35,858333,0
20060630,5.35,5.35,5.35,5.35,5000,0
20060714,5.4,5.4,5.4,5.4,384720,0
20060717,5.38,5.38,5.36,5.36,40000,0
20060718,5.38,5.41,5.38,5.4,60000,0
20060720,5.39,5.39,5.39,5.39,2000,0
20060724,5.39,5.39,5.39,5.39,1500,0
20060725,5.38,5.38,5.38,5.38,319800,0
20060726,5.39,5.4,5.39,5.4,2500,0
20060731,5.38,5.39,5.38,5.39,575000,0
20060818,5.38,5.38,5.38,5.38,130000,0
20060821,5.38,5.38,5.38,5.38,402000,0
20060825,5.38,5.38,5.38,5.38,93758,0
20060907,5.4,5.42,5.4,5.42,58000,0
20060908,5.47,5.47,5.47,5.47,5000,0
20060912,5.46,5.46,5.46,5.46,10000,0
20060913,5.47,5.47,5.47,5.47,2500,0
20060914,5.48,5.5,5.48,5.5,210500,0
20060915,5.5,5.5,5.5,5.5,200000,0
20060918,5.5,5.5,5.5,5.5,152500,0
20060919,5.5,5.5,5.44,5.44,1552200,0
20060921,5.4,5.4,5.4,5.4,47150,0
20060927,5.4,5.4,5.4,5.4,150000,0
20060928,5.47,5.47,5.47,5.47,130694,0
20061002,5.7,5.7,5.5,5.5,10500,0
20061005,5.55,5.55,5.55,5.55,50500,0
20061012,5.5,5.5,5.5,5.5,50000,0
20061013,5.54,5.54,5.53,5.54,6500,0
20061025,5.5,5.5,5.5,5.5,1000,0
20061026,5.5,5.5,5.5,5.5,500,0
20061109,5.45,5.45,5.45,5.45,2000,0
20061110,5.47,5.47,5.47,5.47,243100,0
20061116,5.49,5.49,5.49,5.49,2500,0
20061117,5.51,5.55,5.51,5.53,7684,0
20061122,5.6,5.6,5.54,5.54,400200,0
20061124,5.51,5.54,5.51,5.54,1000,0
20061127,5.54,5.55,5.54,5.55,600,0
20061128,5.53,5.53,5.53,5.53,67500,0
20061129,5.53,5.53,5.53,5.53,5000,0
20061130,5.6,5.6,5.6,5.6,1280,0
20061206,5.57,5.57,5.57,5.57,20000,0
20061218,5.54,5.57,5.54,5.57,24500,0
20061220,5.57,5.57,5.57,5.57,500,0
20061226,5.54,5.54,5.54,5.54,5000,0
20061229,5.59,5.59,5.59,5.59,500,0
20070104,5.55,5.6,5.55,5.6,301000,0
20070105,5.65,5.65,5.63,5.63,8500,0
20070109,5.63,5.63,5.63,5.63,1900,0
20070119,5.62,5.62,5.6,5.6,152250,0
20070125,5.63,5.63,5.63,5.63,1918,0
20070207,5.61,5.61,5.61,5.61,4000,0
20070208,5.6,5.6,5.59,5.59,34000,0
20070209,5.59,5.59,5.59,5.59,6000,0
20070212,5.59,5.59,5.58,5.58,132000,0
20070214,5.58,5.58,5.58,5.58,7000,0
20070215,5.58,5.58,5.58,5.58,31000,0
20070216,5.58,5.58,5.58,5.58,21900,0
20070220,5.6,5.61,5.6,5.61,18521,0
20070302,5.61,5.61,5.61,5.61,114700,0
20070305,5.63,5.63,5.63,5.63,600,0
20070307,5.61,5.61,5.61,5.61,500,0
20070308,5.63,5.67,5.63,5.67,14000,0
20070309,5.66,5.68,5.66,5.68,14000,0
20070313,5.66,5.66,5.64,5.64,3500,0
20070314,5.64,5.66,5.62,5.65,47500,0
20070316,5.65,5.65,5.62,5.62,58000,0
20070319,5.64,5.65,5.64,5.65,3000,0
20070320,5.65,5.65,5.63,5.65,22600,0
20070321,5.64,5.64,5.64,5.64,120000,0
20070330,5.65,5.65,5.65,5.65,49000,0
20070417,5.68,5.68,5.68,5.68,20000,0
20070418,5.68,5.68,5.68,5.68,17000,0
20070423,5.68,5.68,5.68,5.68,500,0
20070425,5.68,5.68,5.68,5.68,83000,0
20070426,5.68,5.68,5.68,5.68,25000,0
20070430,5.7,5.75,5.7,5.72,8500,0
20070501,5.73,5.76,5.72,5.73,46430,0
20070502,5.76,5.77,5.73,5.74,13500,0
20070503,5.74,5.74,5.74,5.74,1798,0
20070504,5.74,5.74,5.74,5.74,4244,0
20070508,5.74,5.74,5.73,5.73,268843,0
20070510,5.77,5.77,5.75,5.75,3600,0
20070511,5.75,5.75,5.75,5.75,10000,0
20070521,5.79,5.8,5.77,5.77,4814,0
20070522,5.77,5.77,5.76,5.76,25500,0
20070523,5.76,5.76,5.76,5.76,1000,0
20070524,5.85,5.85,5.8,5.8,10600,0
20070525,5.77,5.77,5.75,5.77,6000,0
20070601,5.75,5.75,5.75,5.75,12000,0
20070605,5.75,5.75,5.75,5.75,50000,0
20070606,5.75,5.75,5.75,5.75,10000,0
20070612,5.75,5.75,5.75,5.75,3000,0
20070613,5.75,5.9,5.75,5.87,115491,0
20070615,5.85,5.85,5.85,5.85,2800,0
20070620,5.83,5.83,5.83,5.83,50500,0
20070622,5.81,5.81,5.81,5.81,500,0
20070627,5.79,5.79,5.79,5.79,2000,0
20070629,5.79,5.79,5.79,5.79,5000,0
20070716,5.78,5.78,5.78,5.78,200,0
20070730,5.78,5.78,5.73,5.76,503000,0
20070731,5.76,5.76,5.76,5.76,100,0
20070801,5.75,5.75,5.75,5.75,500,0
20070802,5.75,5.75,5.75,5.75,1000,0
20070803,5.76,5.83,5.76,5.83,140500,0
20070806,5.82,5.82,5.78,5.79,52000,0
20070807,5.79,5.79,5.78,5.78,25000,0
20070808,5.78,5.79,5.78,5.78,22500,0
20070809,5.77,5.77,5.65,5.69,26400,0
20070810,5.66,5.67,5.6,5.66,19300,0
20070813,5.62,5.66,5.6,5.65,73890,0
20070815,5.64,5.65,5.64,5.65,32500,0
20070820,5.63,5.63,5.63,5.63,500,0
20070821,5.65,5.65,5.65,5.65,1000,0
20070822,5.6,5.62,5.6,5.62,1500,0
20070823,5.59,5.64,5.59,5.62,591300,0
20070824,5.6,5.6,5.6,5.6,8000,0
20070828,5.64,5.66,5.64,5.66,32600,0
20070829,5.66,5.73,5.66,5.73,475276,0
20070830,5.72,5.72,5.67,5.67,8000,0
20070831,5.66,5.66,5.66,5.66,3000,0
20070904,5.68,5.69,5.68,5.69,6000,0
20070905,5.69,5.69,5.69,5.69,10500,0
20070907,5.69,5.69,5.68,5.68,1500,0
20070910,5.67,5.67,5.67,5.67,1000,0
20070911,5.68,5.68,5.65,5.65,13000,0
20070912,5.64,5.69,5.64,5.69,104000,0
20070913,5.69,5.85,5.69,5.75,587280,0
20070914,5.75,5.79,5.75,5.75,121470,0
20070917,5.75,5.75,5.7,5.7,43430,0
20070918,5.7,5.7,5.69,5.69,3000,0
20070919,5.72,5.75,5.7,5.75,70460,0
20070920,5.76,5.76,5.73,5.73,83104,0
20070921,5.74,5.82,5.74,5.79,284930,0
20070924,5.8,5.85,5.8,5.85,192575,0
20070925,5.82,5.85,5.81,5.85,754004,0
20070926,5.8,5.88,5.8,5.88,86000,0
20070927,5.88,5.88,5.88,5.88,500000,0
20071001,5.88,5.9,5.85,5.85,612471,0
20071002,5.84,5.84,5.74,5.75,82000,0
20071003,5.75,5.85,5.7,5.72,256500,0
20071004,5.7,5.7,5.64,5.7,60508,0
20071005,5.71,5.71,5.69,5.69,8230,0
20071008,5.69,5.69,5.69,5.69,4000,0
20071009,5.67,5.67,5.62,5.62,20850,0
20071010,5.67,5.67,5.61,5.61,15530,0
20071011,5.62,5.62,5.61,5.61,2000,0
20071012,5.6,5.6,5.6,5.6,2500,0
20071015,5.58,5.97,5.55,5.97,3896874,0
20071016,5.56,5.97,5.56,5.64,164667,0
20071017,5.63,5.64,5.62,5.64,25000,0
20071018,5.97,5.97,5.35,5.37,3393257,0
20071019,5.39,5.65,5.39,5.45,32240,0
20071022,5.97,5.97,5.35,5.35,150400,0
20071023,5.35,5.35,5.28,5.3,185800,0
20071024,5.3,5.3,4.83,4.96,331400,0
20071025,4.94,5.15,4.94,5.15,32160,0
20071026,5.14,5.14,5.02,5.05,39600,0
20071029,5.05,5.05,5,5,19550,0
20071030,5.07,5.07,5.07,5.07,975,0
20071031,5,5,4.99,5,22800,0
20071101,4.96,4.96,4.51,4.65,45425,0
20071102,4.7,4.7,4.15,4.25,97100,0
20071105,4.25,4.25,4.25,4.25,1000,0
20071106,4.27,4.27,4.25,4.25,40300,0
20071107,4.25,4.25,4.15,4.15,74465,0
20071108,4.15,4.2,3.9,3.9,15000,0
20071109,3.9,3.9,3.65,3.72,136990,0
20071112,3.75,3.75,3.75,3.75,600,0
20071113,3.75,3.85,3.75,3.81,124070,0
20071114,3.82,3.82,3.62,3.64,602065,0
20071115,3.65,3.8,3.65,3.7,4360,0
20071116,3.75,3.79,3.7,3.77,137000,0
