Date,Open,High,Low,Close,Volume,OpenInt
20151221,5.7492,5.7492,5.4219,5.4219,6745,0
20151222,5.5854,5.5854,5.4219,5.5239,56098,0
20151223,5.5649,5.8923,5.5239,5.5448,81624,0
20151224,5.5239,5.7284,5.5229,5.7284,4802,0
20151228,5.8107,5.8923,5.7284,5.8718,6980,0
20151229,5.8923,6.3217,5.8923,6.0152,23971,0
20151230,5.9332,6.0152,5.6263,5.8107,29708,0
20151231,5.7899,5.9742,5.6263,5.7899,25566,0
20160104,5.6263,5.6263,5.4423,5.5239,8976,0
20160105,5.6263,5.7284,5.5854,5.5854,102750,0
20160106,5.5239,5.7284,5.4014,5.4219,7996,0
20160107,5.4219,5.4731,5.2785,5.4219,11309,0
20160108,5.4014,5.4219,5.3399,5.4219,886,0
20160111,5.4219,5.5649,5.2785,5.3194,15531,0
20160112,5.3399,5.5239,5.3399,5.4625,4913,0
20160113,5.4219,5.4466,5.4219,5.4219,3253,0
20160114,5.3809,5.4219,5.2174,5.3194,9820,0
20160115,3.8873,5.0125,3.8873,4.9101,37554,0
20160119,4.8285,5.0125,4.6032,4.808,22728,0
20160120,4.9716,4.9716,4.5011,4.7876,16496,0
20160121,4.9514,4.9921,4.9101,4.9101,776,0
20160122,5.115,5.4833,5.0433,5.2174,42552,0
20160125,5.0945,5.2785,5.0125,5.0125,9163,0
20160126,4.89,5.258,4.89,5.0535,5391,0
20160127,5.074,5.3194,5.074,5.2174,7883,0
20160128,5.3399,5.3399,5.074,5.258,7359,0
20160129,5.3809,5.5239,5.0125,5.5034,5354,0
20160201,5.5448,5.5448,5.3809,5.4423,9242,0
20160202,5.5034,5.5239,4.8148,5.033,27330,0
20160203,5.0945,5.2785,4.7876,4.9716,34471,0
20160204,4.7671,5.1142,4.7261,4.89,8404,0
20160205,4.7261,4.9101,4.6032,4.8691,11918,0
20160208,4.6442,4.808,4.624,4.808,5502,0
20160209,4.89,5.1764,4.8285,4.8691,621234,0
20160210,4.8593,4.8593,4.7374,4.7671,283634,0
20160211,4.6795,4.7261,4.6795,4.7056,264261,0
20160212,4.641,4.7364,4.5831,4.6032,307793,0
20160216,4.6442,4.9101,4.3581,4.5011,55885,0
20160217,4.5216,4.624,4.5011,4.5626,60475,0
20160218,4.5418,4.6032,4.4397,4.4807,61622,0
20160219,4.6032,4.6032,4.3987,4.5011,81290,0
20160222,4.4192,4.5011,4.3987,4.4192,129286,0
20160223,4.3987,4.3987,4.0509,4.2147,63882,0
20160224,4.1123,4.3309,3.9283,4.2758,156673,0
20160225,4.0509,4.4602,3.9898,4.4397,122329,0
20160226,4.4499,4.4602,4.2967,4.3373,65337,0
20160229,4.3581,4.4192,4.0509,4.0509,56990,0
20160301,4.1942,4.3987,4.1942,4.2967,253708,0
20160302,4.2758,4.3768,4.2758,4.2967,224368,0
20160303,4.4602,4.4602,4.0509,4.3581,146261,0
20160304,4.3987,4.6851,4.1123,4.624,319207,0
20160307,4.6032,5.0945,4.3987,4.7056,1517829,0
20160308,4.6442,4.9921,4.4704,4.624,1112197,0
20160309,4.7056,4.808,4.4192,4.7466,722039,0
