Date,Open,High,Low,Close,Volume,OpenInt
20161028,24.52,25.75,24,24.88,5361674,0
20161031,24,24.23,22.7,22.75,519589,0
20161101,22.35,23.345,22.35,22.49,396233,0
20161102,22.35,23,22.1,22.15,322302,0
20161103,22.15,22.29,21.66,21.98,304894,0
20161104,21.77,22.06,21.75,21.78,105043,0
20161107,22,23.48,21.875,23.42,146591,0
20161108,22,23.5,22,22.6,267137,0
20161109,22.19,23.1799,22.1125,23.01,178478,0
20161110,23.02,24.51,22.95,24.41,243246,0
20161111,24.45,24.45,23.55,23.89,127843,0
20161114,24.17,24.34,22.39,23.49,186751,0
20161115,23.77,25.61,23.48,25.51,156858,0
20161116,25.22,26.66,24.33,24.7726,184419,0
20161117,25,25.9399,24.4001,25.58,146024,0
20161118,25.94,27.86,25.3,27.53,269474,0
20161121,28.5,28.5,26.25,27.75,126388,0
20161122,27.45,27.45,26.4,27,311090,0
20161123,27,28.0912,26.67,26.97,160492,0
20161125,27.22,27.7,26.13,26.84,81994,0
20161128,26.8,27.9599,26.5001,27.33,136785,0
20161129,27.56,28.77,26.76,28.3,179043,0
20161130,28.5,28.5,25.1,26.94,406468,0
20161201,26.06,27.95,25.72,26.79,233217,0
20161202,26.94,27.4,26.095,27.2,120666,0
20161205,27.43,27.75,26.19,26.89,157505,0
20161206,26.9,26.9,25.3497,25.8,226919,0
20161207,25.75,26.49,24.7758,26.22,144482,0
20161208,26.47,26.7346,25.75,26.08,128423,0
20161209,25.96,26.5,25.72,25.8,116195,0
20161212,25.82,26.3963,25.25,25.55,123178,0
20161213,25.47,25.75,24.17,25.08,221084,0
20161214,25.1,25.57,24.46,24.67,163927,0
20161215,24.51,25.3,24.14,24.65,140029,0
20161216,24.5,25.25,24.3,25.08,1281412,0
20161219,25.25,27.34,24.961,26.2,126891,0
20161220,26.39,27.16,25.9,27,86267,0
20161221,26.5275,28.525,26.5275,28.06,104102,0
20161222,28.07,28.23,26.61,27.78,164131,0
20161223,27.79,28.06,26.96,27.4,44088,0
20161227,27.63,27.63,26.36,26.85,81336,0
20161228,26.8,27.16,25.9601,26.93,180030,0
20161229,26.87,27.45,26.38,26.83,139401,0
20161230,26.8,27.64,26.56,27.63,54203,0
20170103,28.1,28.23,27.3401,27.89,98208,0
20170104,27.99,28.33,27.215,27.66,95780,0
20170105,27.41,28,26.6,26.92,82001,0
20170106,26.72,27.55,26.6,27.17,142843,0
20170109,26.92,27.45,26.67,27.19,106123,0
