Date,Open,High,Low,Close,Volume,OpenInt
20130507,250,250,250,250,2,0
20130515,250,250,250,250,2,0
20130523,237.5,237.5,237.5,237.5,2,0
20130607,200,200,200,200,10,0
20130709,200,200,200,200,10,0
20131105,150,150,100,100,6,0
20131212,75,75,75,75,132,0
20131216,75,75,75,75,102,0
20131218,75,75,75,75,2,0
20131226,71,71,71,71,100,0
20140106,80,80,80,80,11,0
20140107,95,95,95,95,14,0
20140108,92.5,95,92.5,95,92,0
20140109,95,95,95,95,39,0
20140110,95,100,95,98.5,1180,0
20140113,98.6,98.6,98,98,269,0
20140114,99,109,99,109,1283,0
20140115,115,119,110,110,325,0
20140116,105,110,105,110,135,0
20140117,110,110,110,110,100,0
20140122,110,110,110,110,140,0
20140123,105.5,105.5,105.5,105.5,55,0
20140124,105.5,109.6,105,105,929,0
20140127,107,107,105,105,645,0
20140128,105,105,105,105,57,0
20140129,105,105,105,105,59,0
20140130,104.9,104.9,100,102,469,0
20140131,66.6,92,60.6,89,13279,0
20140203,88.5,90,77.001,81.5,5161,0
20140204,80,80,75.4,78.5,2805,0
20140205,75.001,76.999,75,75,1487,0
20140206,72.5,79.8,68,72.8,4254,0
20140207,79.5,90,77.5,78.6,3250,0
20140210,82.999,82.999,72.7,78.8,4923,0
20140211,75,80.499,74,78.1,855,0
20140212,78.001,78.001,76,78,1130,0
20140213,76.6,76.6,74.9,75,928,0
20140214,76.6,77.9,75.1,77.4,971,0
20140218,77.6,80,75.001,75.5,1549,0
20140219,75,75,73,73,2077,0
20140220,74.5,74.5,70.5,70.5,1045,0
20140221,72.7,74.8,70.5,71,2119,0
20140224,69.1,72.9,69.1,70.5,1704,0
20140225,70.5,70.8,68,68.5,1587,0
20140226,68.5,70.4,68.5,68.699,303,0
20140227,67.8,69.5,62.1,65,7512,0
20140228,64,65,57.6,64.5,4550,0
20140303,65,65,60.008,62.5,3357,0
20140304,64.999,64.999,61.001,61.5,3905,0
20140305,61,62,59.1,61.9,3620,0
20140306,62,67.392,62,66,2878,0
20140307,61.1,65,61.1,64.9,952,0
20140310,69.1,69.1,65.5,69.1,1114,0
20140311,66.6,69.1,66.6,68,2076,0
20140312,71,71,66,71,3685,0
20140313,65.6,68.8,64.9,68.5,1941,0
20140314,68.5,68.5,67.5,67.5,2009,0
20140317,67.5,67.5,66.5,67.4,4243,0
20140318,67.6,68.501,67.6,68.501,795,0
20140319,68.5,68.5,67.5,68.5,991,0
20140320,69,69,68.5,69,416,0
20140321,70,70,67.5,67.5,4276,0
20140324,67.6,70,66.5,70,4156,0
20140325,69,70,68,69.501,460,0
20140326,69,69,66.5,66.5,2900,0
20140327,66.5,67,66,66,463,0
20140331,66,66,63.5,64.9,1494,0
20140401,65,66.4,58,61.501,3587,0
20140402,62.3,64.799,61.5,62.7,1155,0
20140403,61.5,61.517,61.5,61.517,105,0
20140404,61.8,61.9,60,61.9,1890,0
20140407,63,63,52.004,57,3442,0
20140408,60,60,53,55,4387,0
20140409,53.8,60,53.76,55,941,0
20140410,53.5,56.5,52,52.5,745,0
20140411,50.1,55,50.1,54.001,1410,0
20140414,51.71,53,50.001,52.1,1014,0
20140415,52,52,46.3,51.1,2787,0
20140416,53.8,57.426,53.2,57.426,430,0
20140421,53.5,56,53.5,56,408,0
20140422,56.9,57,55.76,56.8,280,0
20140423,56.3,60,56.3,58.569,1075,0
20140424,58.5,62.7,58.5,61.6,1150,0
20140425,62.5,62.5,62,62,295,0
20140428,62.5,62.5,61,61,190,0
20140429,60,61,60,61,470,0
20140502,58,61.4,57.5,59.9,193,0
20140508,56,56.1,55.5,55.5,310,0
20140509,55,55,52.5,55,584,0
20140512,53.1,55,53.1,54,180,0
20140513,53.2,53.5,53,53.3,500,0
20140514,57.099,57.099,53.6,53.6,20,0
20140515,53.5,53.5,50.55,51.8,628,0
20140516,58.049,58.049,51.5,51.5,168,0
20140519,51.6,53,51.5,52.1,55,0
20140520,52,52,50.6,52,100,0
20140521,53,53.6,51.9,52.5,755,0
20140522,53.3,53.3,52.222,52.4,164,0
20140523,52.4,53.896,47.7,53.896,916,0
20140527,51.5,51.601,51.5,51.524,184,0
20140528,50.7,53.699,50.7,53.699,275,0
20140530,50.3,51,50,51,677,0
20140602,50.1,50.101,50.1,50.101,40,0
20140603,50.1,50.1,50,50,50,0
20140604,50.2,50.2,50.2,50.2,70,0
20140605,50.9,51,50.9,51,41,0
20140606,52.1,52.9,51.5,52.9,220,0
20140609,52.5,53.482,51.3,53.482,90,0
20140610,53.9,59.9,53.9,59.9,590,0
20140611,59.8,60.8,59.6,60.8,1284,0
20140612,59.9,59.9,59.9,59.9,10,0
20140613,59.7,60.5,59.5,60.5,224,0
20140616,57.5,60,55,60,2788,0
20140617,62,62.5,60,61.4,935,0
20140618,60,70,60,69.6,1983,0
